topPrompts,bottomPrompts,image
Count the all the faces with hats you see,Press ENTER to continue,
Here are some examples of faces with hats (left) and no hats (right),Press ENTER to continue,Faces/sample_images/sample_neutral.png
"If you have any questions, please ask the experimenter now","WHEN YOU ARE READY TO BEGIN, press any button",
