topPrompts,bottomPrompts,image
Count the all the faces you see looking directly at you,Press ENTER to continue,
Here are some examples of faces looking at you (left) and not looking at you (right) ,Press ENTER to continue,Faces/sample_images/sample_social.png
"If you have any questions, please ask the experimenter now","WHEN YOU ARE READY TO BEGIN, press any button",
