topPrompts,bottomPrompts,image
Count the all the angry faces you see,Press ENTER to continue,
Here are some examples of angry (left) and neutral (right) faces,Press ENTER to continue,Faces/sample_images/sample_threat.png
"If you have any questions, please ask the experimenter now","WHEN YOU ARE READY TO BEGIN, press any button",
